AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
139.79,81.92,183.91,98.58,34.44,113.88,111.04,90.37,252.71,146.68,181.95,35.93,123.86,93.6,42.16,129.05,189.86,66.21,64.94,57.95,34.42,91.66,124.99,167.94,113.68,88.99,49.81,86.77,70.45,83.02,
138.96,80.1,182.99,94.36,34.39,113.36,110.59,90.22,251.06,147.95,180.53,35.91,123.63,92.14,42.47,128.23,189.89,66.08,64.01,57.8,34.51,90.91,124.52,167.31,112.69,88.53,49.98,86.74,70.76,83.3,
139.78,79.88,182.18,95.12,34.29,113.55,111.24,90.09,252.89,147.81,180.05,35.9,123.79,92.8,42.48,127.9,189.31,66.58,64.25,56.7,34.52,90.5,124.13,168.2,112.34,88.79,50.09,85.89,70.03,82.46,
139.34,79.5,180.93,95.66,34.19,113.17,110.67,90.44,252.01,147.13,180.47,35.57,123.71,91.92,42.18,128.03,188.9,66.47,64.27,56.77,34.35,90.37,122.32,168.7,111.66,88.94,50.03,85.88,69.88,82.83,
139.52,79.58,182.02,95.93,34.2,111.81,110.86,89.93,250.9,146.02,180.38,35.8,123.83,91.41,41.99,128.07,189.09,65.96,64.4,56.55,33.99,90.29,122.14,168.3,112.28,89.06,49.44,85.99,69.87,82.52,
139,79.04,181.74,93.23,34.02,109.61,110.84,90.12,250.24,146.92,179.45,35.62,124.1,91.21,41.99,128.09,189.51,65.8,64.99,56.51,33.91,90.14,121.24,167.91,111.75,88.96,49.16,85.16,69.8,81.03,
138.68,79.3,180.57,91.39,34.07,110.04,111.03,90.49,250.18,146.62,177.18,35.82,125.95,91.57,42.03,128.14,189.9,65.89,64.73,56.36,34.05,90.34,121.9,168.01,111.93,89.11,49.28,85.31,69.86,81.67,
139.14,79.38,178.7,92.31,34.26,110.61,110.92,90.91,248.38,146.85,177.83,35.91,126.21,91.28,42.29,127.98,191.21,65.6,64.93,56.43,34.11,91.07,122.83,169.98,112.14,89.73,49.35,85.63,70.1,81.61,
139.2,79.21,179.05,92.64,34.1,109.35,111.52,91.3,248.16,147.43,176.46,35.16,126.68,91.36,42.03,127.61,191.52,64.15,64.71,56.67,34.11,91.31,122.15,170.21,112.31,90.11,49.47,85.61,69.95,81.42,
138.99,79.69,178.73,91.86,34.12,107.36,112.31,90.69,247.72,147.16,175.72,35.18,127.05,91.51,41.97,127.8,190.33,64.2,64.41,57.28,34.22,91,122.62,169.06,111.83,89.55,49.36,85.4,70.72,80.99,
140.46,79.23,178.71,93.36,34.24,108.88,111.87,91.77,246.78,147.95,175.81,35.1,128.96,91.73,42.12,127.88,191.2,64.7,64.75,57.66,34.63,91.4,122.99,171.78,113.08,89.92,50.14,85.8,70.58,82,
140.69,79.77,178.19,92.85,34.23,107.86,111.71,90.94,248.22,148.73,177.24,35.14,128.46,91.64,42.25,127.98,190.31,64.18,64.64,57.6,34.43,91.44,122.74,171.3,112.34,90.04,50.04,85.67,70.44,82.07,
139.99,79.25,180.1,92.91,34.23,107.68,111.76,91.18,243.94,149.6,175.65,35.27,128.06,90.68,42.03,128.64,192.36,63.9,64.87,57.8,34.32,91,123.14,169.7,113.45,90.24,50.39,85.91,69.89,82,
141.46,78.85,179.39,95.4,34.28,107.66,112.71,91.85,242.14,147.8,175.7,35.43,128.07,90.03,42.18,128.78,193.01,64.11,64.93,58.68,34.38,91.22,122.36,168,113.51,89.18,50.24,84.63,69.98,82,
139.84,77.53,175.96,92.43,33.88,108.04,111.75,89.83,233,146.61,173.88,35.04,127.25,87.39,42.5,128.52,192.13,63.91,64.21,58.01,34.25,91.19,121.69,167.7,112.16,88.06,50.16,83.21,69.9,81.83,
141.42,77.67,176.98,92.43,34.1,108.39,112.08,89.42,231.07,147.36,174.78,35.37,126.26,87.53,42.38,129.1,192.22,63.5,65.03,53.92,34.47,90.99,122.03,167.03,111.93,88.52,49.71,83.03,70.25,81.76,
140.92,77.84,177.26,92.23,33.96,107.87,112.24,90.9,231.9,147.99,174.82,35.27,125.9,87.39,42.17,129,192.14,63.28,64.87,55.37,34.29,90.77,121.29,165.29,111.84,88.86,49.64,82.98,69.86,81.86,
140.64,78.2,175.82,92.15,34.08,107.99,112.14,89.83,228.41,147.71,173.83,35.16,125.48,87.29,42.12,129.34,191.51,63.18,64.98,56.36,34,90.57,120.77,165,111.8,89.19,49.68,82.97,69.61,81.23,
140.88,77.6,176.1,91.51,33.99,106.28,112.38,91.17,225.48,146.87,173.77,35.39,125.8,87.24,42.32,129.49,190.43,63.19,65.1,55.93,34.18,90.49,121.01,164.6,111.83,88.95,49.14,83.56,69.66,81.25,
143.8,78.64,177.36,92.95,34.02,107.17,113.05,92.57,229.33,147.2,174.51,35.6,125.66,88.6,42.43,129.45,190.99,63.34,65.29,56.62,34.16,90.76,121.8,165.35,112.74,89.12,49.3,83.74,70.32,81.84,
144.12,78.25,177.63,92.86,33.74,108.07,112.53,91.74,228.45,147.04,173.94,35.57,124.92,88.27,42.42,128.84,190.68,63.64,65.47,56.68,34.33,90.6,120.53,163.44,112.06,89.18,49.13,83.77,70.74,82.02,
143.93,79.21,177.98,93.22,33.74,107.78,113.18,91.4,231.22,146.95,173.86,35.75,124.66,89.03,42.6,129.32,191.28,63.45,65.71,56.04,34.35,90.2,121.03,164.99,112.45,89.01,49.06,83.31,71.59,83.7,
143.66,79.11,176.86,92.76,33.8,107.37,113.39,90.49,229.72,146.83,174.14,36.07,124.55,87.84,42.44,129.61,191.33,63.54,65.86,55.73,34.21,89.85,120.54,164.01,112.21,88.87,48.75,83.05,72.08,82.01,
