AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
109.4,90.85,126.03,100.22,24.58,116.78,91.71,69.97,190.83,96.09,164.36,34.31,107.46,60.88,41.81,93.61,153.3,58.92,47.44,46.73,30.19,87.38,99.95,94.86,106.3,60.39,50.39,64.98,76.28,95.26,
108.6,91.38,125.84,98.61,24.88,115.37,90.35,67.76,190.27,95.96,162.65,34.54,108.62,60.25,41.82,94.47,155.05,59.37,47.57,46.98,30.28,88.64,101.13,94.98,106.88,60.74,50.33,65.24,77.26,94.52,
108.86,92.42,124.22,99.41,25.15,117.05,91,70.01,189.84,95.78,161.82,33.76,108.82,61.15,42.31,94.64,155.69,59.57,47.86,47.34,30.04,89,101.49,95.8,107.93,62.38,50.34,65.66,77.7,95.07,
108.7,91.58,124.58,100.91,25.26,118.53,92,70.93,191,97.29,161.46,33.82,109.01,61.23,42.29,94.66,156.05,59.26,48.7,47.3,30.04,88.9,101.91,96.21,108.58,62.52,50.28,66.65,77.81,96.26,
109.01,92.26,124.45,101.76,25.33,118.8,90,70.49,190.71,97.65,162.07,33.58,108.2,61.47,42.32,95.1,156.55,59.34,48.68,46.89,29.92,89.13,102.37,93.61,109.08,63.11,50.86,66.92,78.77,96.59,
108.83,92.4,124.64,102.21,25.15,117.92,89.78,70.46,191.8,98.16,163.49,33.26,108.82,61.93,42.39,95.11,157.66,58.81,48.89,47.48,30.2,89.45,102.99,94.75,109,62.55,50.72,67.78,79.44,96.28,
109.7,91.74,125.36,102.53,25.15,118.44,89.98,70.52,191.88,98.14,163.3,33.31,108.91,61.37,42.51,95.14,157.11,59.37,48.87,47.44,30.32,89.67,102.94,95.69,108.26,62.43,50.61,67.5,79.01,96.41,
111.25,91.55,125.87,102.99,25.11,117.65,89.9,71.06,190.18,98.49,161.92,33.38,108.75,60.56,42.71,95.33,157.68,59.31,48.78,47.91,30.42,89.48,103.06,95.68,108.14,62.99,50.82,67.44,79.2,95.38,
112.82,91.07,128.53,101.11,25.68,116.45,90.49,71.15,190.24,99,162.79,33.68,109.07,60.23,42.79,95.48,158.35,59.54,49.61,48.06,30.42,88.6,103.23,95.9,108.14,62.73,51.2,66.96,82.94,94.66,
114.18,90.67,128.86,101.34,26.32,116.32,90.8,73.16,189.98,98.24,164.16,33.95,108.16,60.28,42.73,96.21,158.85,59.07,49.58,47.75,30.34,88.11,102.43,95.11,107.45,62.21,51.5,66.93,82.96,95.09,
113.99,90.13,128.42,101.7,26.47,115.75,90.41,72.8,189.93,98.03,164.16,34.24,108.3,60.38,42.92,95.97,158.69,59.46,49.46,48.03,30.32,87.84,102.75,96.47,107.37,62.45,51.4,66.55,83.57,95.11,
115.47,90.58,130.66,102.04,26.6,115.47,90.28,74.15,189.64,95.98,161.89,34.71,108.83,60.53,43.53,96.41,160.15,59.89,48.74,48.24,30.59,87.95,102.85,98.19,108.8,62.43,51.22,68.06,83.79,94.87,
114.67,90.5,131.61,101.3,26.59,116.47,89.82,73.31,189.19,96.7,161.43,34.35,108.76,60.6,44.22,96.56,158.83,59.64,48.22,48.48,30.44,88.73,103.03,96.86,108.66,62.47,50.49,67.79,84.99,95.61,
116.31,90.62,131.7,102.09,26.81,117.31,88.9,73.31,189.75,97.57,160.64,35.95,108.18,60.12,44.25,96.64,159.36,59.38,48.7,48.65,30.44,88.47,103.46,96.85,108.82,62.92,50.19,67.34,84.58,95.82,
116.47,90.39,132.78,106.45,26.88,118.58,88.96,75.25,189.59,98.28,160.92,35.59,107.86,60.45,44.5,96.68,160.16,59.66,47.98,48.71,30.45,88.6,103.81,96.71,110.3,63.56,50.21,67.59,84.65,96.81,
118.63,91.04,134.61,105.96,27.03,117.59,90.58,74.42,190.07,98.4,162.15,36.25,106.88,60.96,44.27,97.17,159.88,59.25,47.59,48.98,30.22,88.11,103.79,96.9,108.79,63.66,49.5,67.73,85.4,95.72,
117.6,91.4,134.81,106.24,27.28,116.15,91.65,73.18,188.86,97.01,161.76,36.32,106.7,60.3,44.43,97,158.06,59.34,47.47,48.65,30.47,88.8,103.43,97.9,111.71,64.32,49.34,67.81,84.95,94.78,
119,91.45,134.78,105.79,27.43,115.11,91.92,73.71,188.52,97.7,161.95,36.9,107.21,60.34,44.29,96.22,158.31,59.75,47.75,48.9,31.1,88.88,104.37,98.11,110.16,64.32,50.04,68.47,84.98,94.48,
118.93,92.42,134.36,100.6,27.64,108.87,92.51,69.31,188.41,99.4,162.17,37.25,108.25,60.16,44.83,96.81,160.09,60.4,47.81,49.65,31.15,90.43,104.45,98.63,110.08,64.55,50.59,68.61,87.54,90.54,
