AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
128.75,76.76,163.97,95.11,30.5,111,111.3,85.87,230.67,137.44,174.29,36.52,113.23,84.95,41.26,122.42,175.17,62.1,63.58,53.02,31.67,87.33,116.54,162.71,108.18,82.44,48.39,81.04,66.23,82.94,
128.53,76.51,162.26,93.77,31.18,112.21,110.61,85.25,230.41,136.95,174.58,36.68,113.57,84.59,41.4,123.22,174.18,64.18,63.17,52.8,31.73,87.76,117.63,160.76,108.36,82.3,48.28,80.59,66.7,83.45,
129.08,78.04,162.4,93.28,31.32,113.57,110.3,85.74,240.95,137.98,175.82,36.52,113.64,87.18,41.54,124.24,175.04,64.29,63.68,52.36,32.09,87.41,117.78,161.87,109.65,86.08,48.58,80.47,66.5,83.54,
130.29,77.82,163.98,92.87,31.3,112.98,109.57,85.47,239.98,136.49,175.86,36.27,113.4,86.77,41.56,124.45,175.1,64.94,63.64,52.8,32.23,87.4,117.67,160.51,110.68,85.83,48.03,80.8,66.4,83.31,
131.53,77.72,166.5,93.31,31.45,111.39,109,85.15,239.62,136.65,178.46,36.35,113.48,86.72,41.9,124.59,175.76,64.2,63.43,52.81,32.08,88.01,117.76,160.53,111.25,85.78,48.04,81.43,66.89,82.77,
132.04,77.8,163.81,92.91,31.27,111.58,109,85.06,237.73,137.88,176.17,36.38,113.4,85.96,42.02,124.67,177.07,64.32,63.34,53.88,32.14,88.33,117.81,160.31,110.4,85.09,48.37,81.53,67.81,81.48,
132.42,78.18,164.28,93.96,31.5,112.26,109.49,85.82,241.55,138.71,177.21,35.46,114.08,87.2,41.25,124.48,178.18,64.39,64.06,55.31,32.38,88.67,118.78,160.44,110.09,85.58,48.81,82.38,69.08,81.84,
132.12,78.48,166.23,96.31,31.51,113.05,109.26,87.14,242.72,139.85,178.68,35.34,115.24,87,40.58,125.82,179,64.15,64,56.22,32.35,87.97,119.73,160.75,111.05,85.9,48.98,83.31,68.02,82.52,
133.29,78.91,168.03,98.5,31.97,113.91,109.65,87.67,246.27,139.87,179.36,35.8,115.88,88.15,40.62,125.54,181.02,64.77,64.72,56.09,32.61,88.31,119.71,161.99,112.02,86.44,48.55,83.43,67.77,83,
135.02,79.41,168.5,98.09,32.31,112.52,110.33,87.89,249.46,141.36,180.13,35.93,116.36,89.56,40.53,125.81,181.6,65.66,64.57,56.45,32.75,87.86,120.24,163.13,111.57,86.85,48.27,83.79,68.66,82.82,
135.51,79.6,169.3,99.02,32.82,112.57,110.18,87.01,250.54,142.19,181.68,36.05,117.2,90.59,40.44,126.48,181.7,65.16,64.53,56.64,33.51,91.12,120.98,164.29,111.91,87.54,48.08,84.25,68.69,83.16,
135.35,79.51,170.81,98.26,33.6,110.68,110.71,87.45,249.44,141.54,181.43,36.41,118.08,90.53,41.2,126.7,183.41,65.26,64.52,56.29,33.62,90.79,121.79,163.65,112.07,87.41,48.46,85.65,68.87,82.3,
135.72,79.71,172.71,98.85,33.74,110.33,110.06,87.24,250.38,143,180.67,36.48,118.86,90.23,41.23,127.8,182.95,65.39,64.62,56.75,33.62,91.09,121.95,157.62,112.15,87.46,49.19,85.86,69.37,81.76,
136.7,79.97,175.56,98.1,34.13,111.72,110.01,87.18,251.76,145.02,180.26,36.52,119.66,91.01,41.46,128.04,183.37,65.48,64.49,57.36,33.62,91.67,121.55,160.57,112.5,87.92,49.43,86.41,71.45,81.89,
137.11,79.86,175.36,98.2,34.09,110.38,110.12,90.67,251.73,145.25,181.15,36.07,119.52,91.06,41.6,127.85,186.04,65.29,64.36,58.24,33.59,91.44,121.9,160.57,112.66,87.8,49.67,86.29,71.71,80.93,
136.53,80.05,176.86,95.55,34.04,111.02,109.73,90.24,251.19,144.71,181.65,36.18,121.7,91.13,41.66,128.27,187.19,65.85,64.62,57.39,34.06,91.13,122.36,162.6,112.09,88.18,50.31,86.99,71.31,81.78,
136.66,79.76,177.44,95.48,34.32,110.12,110.32,90.5,247.35,145.95,181.35,36.53,122.73,90.33,41.78,128.65,187.41,66.16,64.62,57.86,34.26,91.05,122.27,163.06,112.46,88.43,50.6,87.61,72.39,81.08,
136.93,80.17,179.43,97.44,34.26,111.75,110.23,89.59,249.33,145.3,179.4,36.51,122.4,90.43,41.67,126.99,186.91,65.85,64.23,57.69,34.28,90.89,122.04,165.38,112.81,88,49.94,87.22,71.74,81.54,
136.99,80.06,180.23,96.66,34.18,112.5,110.09,88.66,248.06,144.91,179.82,36.2,122.21,90.62,41.96,127.65,186.35,65.87,63.98,57.16,34.12,91.07,122.24,165.38,112.55,87.94,49.63,86.38,70.93,81.32,
